Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.1.1.4.51.1.4.00.00.00;Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros;31.671,99;37.649,67;60.689,89;36.368,53;35.179,03;33.601,01;26.818,44;29.241,13;22.451,99;37.117,06;24.977,60;23.299,33;399.065,67;34.559,18;30.041,15;24.318,85;25.569,13;25.933,68;25.959,47;31.417,04;30.476,83;51.565,14;62.534,99;50.445,43;51.712,81;444.533,70;2.887,19;-7.608,52;-36.371,04;-10.799,40;-9.245,35;-7.641,54;4.598,60;1.235,70;29.113,15;25.417,93;25.467,83;28.413,48;45.468,03
1.1.2.1.01.0.1.01.00.00;Taxa Licença p/ Func. Estab.Com.,Ind.e Prest.Servi;1.571,82;224,91;1.068,05;1.355,99;1.068,35;966,57;2.061,67;1.682,86;20.242,15;93.647,78;42.336,78;46.063,82;212.290,75;3.261,83;3.994,84;9.055,80;12.027,05;20.477,41;9.113,55;13.294,02;17.957,92;47.914,74;955.227,36;419.053,86;384.300,45;1.895.678,83;1.690,01;3.769,93;7.987,75;10.671,06;19.409,06;8.146,98;11.232,35;16.275,06;27.672,59;861.579,58;376.717,08;338.236,63;1.683.388,08
1.1.2.1.01.0.1.01.00.00;Taxa Licença p/ Func. Estab.Com.,Ind.e Prest.Servi;1.571,82;224,91;1.068,05;1.355,99;1.068,35;966,57;2.061,67;1.682,86;20.242,15;93.647,78;42.336,78;46.063,82;212.290,75;3.261,83;3.994,84;9.055,80;12.027,05;20.477,41;9.113,55;13.294,02;17.957,92;47.914,74;955.227,36;419.053,86;384.300,45;1.895.678,83;1.690,01;3.769,93;7.987,75;10.671,06;19.409,06;8.146,98;11.232,35;16.275,06;27.672,59;861.579,58;376.717,08;338.236,63;1.683.388,08
1.1.2.1.01.0.1.02.00.00;Taxa de Licença para Execução de Obras;1.446,10;2.827,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.273,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;920,23;920,23;-1.446,10;-2.827,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;920,23;-3.353,48
1.1.2.1.01.0.1.02.00.00;Taxa de Licença para Execução de Obras;1.446,10;2.827,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.273,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;920,23;920,23;-1.446,10;-2.827,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;920,23;-3.353,48
1.1.2.1.01.0.1.03.00.00;Taxa de Utilização de Área de Domínio Público;23.886,58;37.467,93;11.631,63;14.913,93;171.185,00;98.972,98;77.185,90;21.243,81;36.643,88;150.836,01;37.970,02;121.006,86;802.944,53;258,59;8.961,55;776,09;594,68;993,46;1.085,17;4.057,54;213,04;1.297,30;6.114,77;9.234,40;6.577,27;40.163,86;-23.627,99;-28.506,38;-10.855,54;-14.319,25;-170.191,54;-97.887,81;-73.128,36;-21.030,77;-35.346,58;-144.721,24;-28.735,62;-114.429,59;-762.780,67
1.1.2.1.01.0.1.03.00.00;Taxa de Utilização de Área de Domínio Público;23.886,58;37.467,93;11.631,63;14.913,93;171.185,00;98.972,98;77.185,90;21.243,81;36.643,88;150.836,01;37.970,02;121.006,86;802.944,53;258,59;8.961,55;776,09;594,68;993,46;1.085,17;4.057,54;213,04;1.297,30;6.114,77;9.234,40;6.577,27;40.163,86;-23.627,99;-28.506,38;-10.855,54;-14.319,25;-170.191,54;-97.887,81;-73.128,36;-21.030,77;-35.346,58;-144.721,24;-28.735,62;-114.429,59;-762.780,67
1.1.2.1.01.0.1.04.00.00;Taxa de Aprovação do Projeto de Construção Civil;13.442,67;10.893,26;14.669,32;4.116,12;12.398,69;18.296,70;18.692,64;11.511,79;20.832,69;7.800,75;7.820,63;7.820,62;148.295,88;2.421,60;4.036,00;5.130,88;3.156,10;7.066,79;3.632,40;8.475,60;8.475,60;6.054,00;5.246,80;5.650,40;7.668,40;67.014,57;-11.021,07;-6.857,26;-9.538,44;-960,02;-5.331,90;-14.664,30;-10.217,04;-3.036,19;-14.778,69;-2.553,95;-2.170,23;-152,22;-81.281,31
1.1.2.1.01.0.1.04.00.00;Taxa de Aprovação do Projeto de Construção Civil;13.442,67;10.893,26;14.669,32;4.116,12;12.398,69;18.296,70;18.692,64;11.511,79;20.832,69;7.800,75;7.820,63;7.820,62;148.295,88;2.421,60;4.036,00;5.130,88;3.156,10;7.066,79;3.632,40;8.475,60;8.475,60;6.054,00;5.246,80;5.650,40;7.668,40;67.014,57;-11.021,07;-6.857,26;-9.538,44;-960,02;-5.331,90;-14.664,30;-10.217,04;-3.036,19;-14.778,69;-2.553,95;-2.170,23;-152,22;-81.281,31
1.1.2.1.01.0.1.05.00.00;Taxa de Alinhamento e Nivelamento;5.254,88;5.391,18;5.636,32;3.180,29;8.051,42;7.229,81;7.925,31;9.347,21;6.621,66;7.053,32;4.394,20;6.195,38;76.280,98;2.821,98;7.309,24;4.114,64;5.811,29;3.598,28;4.219,10;16.844,26;6.412,89;7.511,01;7.470,67;5.233,57;3.185,05;74.531,98;-2.432,90;1.918,06;-1.521,68;2.631,00;-4.453,14;-3.010,71;8.918,95;-2.934,32;889,35;417,35;839,37;-3.010,33;-1.749,00
1.1.2.1.01.0.1.05.00.00;Taxa de Alinhamento e Nivelamento;5.254,88;5.391,18;5.636,32;3.180,29;8.051,42;7.229,81;7.925,31;9.347,21;6.621,66;7.053,32;4.394,20;6.195,38;76.280,98;2.821,98;7.309,24;4.114,64;5.811,29;3.598,28;4.219,10;16.844,26;6.412,89;7.511,01;7.470,67;5.233,57;3.185,05;74.531,98;-2.432,90;1.918,06;-1.521,68;2.631,00;-4.453,14;-3.010,71;8.918,95;-2.934,32;889,35;417,35;839,37;-3.010,33;-1.749,00
1.1.2.1.01.0.1.06.00.00;Taxa de Apreensão, Depósito ou Liberação de Animais;0,00;0,00;0,00;1.032,34;1.376,45;1.290,42;0,00;774,25;1.462,48;688,23;0,00;0,00;6.624,17;0,00;0,00;0,00;0,00;0,00;0,00;944,44;0,00;1.670,95;1.235,05;2.905,92;7.123,54;13.879,90;0,00;0,00;0,00;-1.032,34;-1.376,45;-1.290,42;944,44;-774,25;208,47;546,82;2.905,92;7.123,54;7.255,73
