Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.570.000.0000;Transferências do Governo Federal referentes a Convênios e Instrumentos Congêneres vinculados à Educação;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,44;266.451,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,44;-266.451,74
1.570.000.0000;Transferências do Governo Federal referentes a Convênios e Instrumentos Congêneres vinculados à Educação;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,30;22.204,44;266.451,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,30;-22.204,44;-266.451,74
1.576.000.0000;Transferências de Recursos dos Estados para programas de Educação;1.549,02;1.549,02;1.549,02;1.549,02;1.549,02;1.549,02;1.549,02;1.549,02;1.549,02;1.549,02;1.549,02;1.549,06;18.588,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.499,79;0,00;0,00;0,00;-18.499,79;0,00;-1.549,02;-1.549,02;-1.549,02;-1.549,02;-1.549,02;-1.549,02;-1.549,02;16.950,77;-1.549,02;-1.549,02;-1.549,02;-20.048,85;-18.588,28
1.576.001.0000;PTE- Transferências de Recursos dos Estados para Programas de Educação (Transferências de Recursos para o Programa Estadual de Transporte Escolar);108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,48;1.297.083,45;8.331,30;142.720,06;145.921,13;143.829,41;145.346,69;145.065,83;144.926,82;145.237,56;144.164,38;144.583,70;144.196,97;8.679,09;1.463.002,94;-99.758,97;34.629,79;37.830,86;35.739,14;37.256,42;36.975,56;36.836,55;37.147,29;36.074,11;36.493,43;36.106,70;-99.411,39;165.919,49
1.576.001.0000;PTE- Transferências de Recursos dos Estados para Programas de Educação (Transferências de Recursos para o Programa Estadual de Transporte Escolar);108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,27;108.090,48;1.297.083,45;8.331,30;142.720,06;145.921,13;143.829,41;145.346,69;145.065,83;144.926,82;145.237,56;144.164,38;144.583,70;144.196,97;8.679,09;1.463.002,94;-99.758,97;34.629,79;37.830,86;35.739,14;37.256,42;36.975,56;36.836,55;37.147,29;36.074,11;36.493,43;36.106,70;-99.411,39;165.919,49
1.599.003.0000;Outros Recursos Vinculados à Educação (Serviços Educacionais);752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,53;9.029,48;607,22;81.674,02;103.354,27;354,16;10.500,94;-146.766,30;7.821,99;9.048,13;9.215,65;6.966,33;6.825,77;6.993,06;96.595,24;-145,23;80.921,57;102.601,82;-398,29;9.748,49;-147.518,75;7.069,54;8.295,68;8.463,20;6.213,88;6.073,32;6.240,53;87.565,76
1.599.003.0000;Outros Recursos Vinculados à Educação (Serviços Educacionais);752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,45;752,53;9.029,48;607,22;81.674,02;103.354,27;354,16;10.500,94;-146.766,30;7.821,99;9.048,13;9.215,65;6.966,33;6.825,77;6.993,06;96.595,24;-145,23;80.921,57;102.601,82;-398,29;9.748,49;-147.518,75;7.069,54;8.295,68;8.463,20;6.213,88;6.073,32;6.240,53;87.565,76
1.600.000.0000;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.529,35;89.694.338,23;7.418.259,76;8.089.901,48;8.013.850,25;7.691.580,06;12.952.650,66;7.808.401,38;7.920.273,31;8.910.899,84;7.565.918,67;8.775.642,73;9.279.818,28;9.265.443,69;103.692.640,11;-56.268,32;615.373,40;539.322,17;217.051,98;5.478.122,58;333.873,30;445.745,23;1.436.371,76;91.390,59;1.301.114,65;1.805.290,20;1.790.914,34;13.998.301,88
1.600.000.0000;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.529,35;89.694.338,23;7.418.259,76;8.089.901,48;8.013.850,25;7.691.580,06;12.952.650,66;7.808.401,38;7.920.273,31;8.910.899,84;7.565.918,67;8.775.642,73;9.279.818,28;9.265.443,69;103.692.640,11;-56.268,32;615.373,40;539.322,17;217.051,98;5.478.122,58;333.873,30;445.745,23;1.436.371,76;91.390,59;1.301.114,65;1.805.290,20;1.790.914,34;13.998.301,88
1.600.000.0000;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.528,08;7.474.529,35;89.694.338,23;7.418.259,76;8.089.901,48;8.013.850,25;7.691.580,06;12.952.650,66;7.808.401,38;7.920.273,31;8.910.899,84;7.565.918,67;8.775.642,73;9.279.818,28;9.265.443,69;103.692.640,11;-56.268,32;615.373,40;539.322,17;217.051,98;5.478.122,58;333.873,30;445.745,23;1.436.371,76;91.390,59;1.301.114,65;1.805.290,20;1.790.914,34;13.998.301,88
