Entidade;Número do Organograma;Descrição do organograma;Número da ação;Descrição da ação;Número do programa;Descrição do programa;Número da função;Descrição da função;Número da subfunção;Descrição da subfunção;Número da despesa;Natureza de Despesa;Descrição da natureza de despesa;Recurso;Descrição do recurso;Valor empenhado da despesa
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.014;MANUTENÇÃO DO CENTRO DE TESTAGEM E ACONSELHAMENTO - IST/AIDS;4;VIGILANCIA EM SAUDE;10;Saúde;305;Vigilância Epidemiológica;277;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;12.126,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.034;MANUTENÇÃO DO SISTEMA DE IMUNIZAÇÃO;4;VIGILANCIA EM SAUDE;10;Saúde;305;Vigilância Epidemiológica;295;4.4.90.52.18.00.00.00;MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;251.741,04
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.024;MANUTENÇAO DA OUVIDORIA;6;GESTÃO;10;Saúde;122;Administração Geral;22;3.3.90.39.29.00.00.00;SERVIÇOS DE ENERGIA ELÉTRICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);4.000,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.024;MANUTENÇAO DA OUVIDORIA;6;GESTÃO;10;Saúde;122;Administração Geral;22;3.3.90.39.10.00.00.00;LOCAÇÃO DE IMÓVEIS;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);27.000,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.018;PESSOAL E ENCARGOS SOCIAIS DA SESAP;11;APOIO A ADMINISTRAÇAO PUBLICA;10;Saúde;122;Administração Geral;50;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);228.014,46
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.021;MANUTENÇAO DE AÇÕES DA SESAP;11;APOIO A ADMINISTRAÇAO PUBLICA;10;Saúde;122;Administração Geral;58;3.3.90.39.12.00.00.00;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);120.799,35
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.021;MANUTENÇAO DE AÇÕES DA SESAP;11;APOIO A ADMINISTRAÇAO PUBLICA;10;Saúde;122;Administração Geral;58;3.3.90.39.10.00.00.00;LOCAÇÃO DE IMÓVEIS;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);84.360,01
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.021;MANUTENÇAO DE AÇÕES DA SESAP;11;APOIO A ADMINISTRAÇAO PUBLICA;10;Saúde;122;Administração Geral;58;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);1.000,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.021;MANUTENÇAO DE AÇÕES DA SESAP;11;APOIO A ADMINISTRAÇAO PUBLICA;10;Saúde;122;Administração Geral;58;3.3.90.39.29.00.00.00;SERVIÇOS DE ENERGIA ELÉTRICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);5.000,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.021;MANUTENÇAO DE AÇÕES DA SESAP;11;APOIO A ADMINISTRAÇAO PUBLICA;10;Saúde;122;Administração Geral;59;3.3.90.40.99.00.00.00;OUTROS SERV. DE TECNOL. DA INF. E COMUNIC. - PJ;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);9.317,44
PREFEITURA MUNICIPAL DE BARBACENA;03.001;CONTROLADORIA GERAL DO MUNICIPIO-CGEM;2.142;MANUTENÇAO DA CGEM;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;124;Controle Interno;17;3.3.90.39.10.00.00.00;LOCAÇÃO DE IMÓVEIS;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;27.000,00
PREFEITURA MUNICIPAL DE BARBACENA;05.001;SEGAB;2.150;MANUTENÇAO DA SEGAB;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;122;Administração Geral;26;3.3.90.14.03.00.00.00;DIÁRIAS DE PREFEITO;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;3.536,82
PREFEITURA MUNICIPAL DE BARBACENA;05.001;SEGAB;2.150;MANUTENÇAO DA SEGAB;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;122;Administração Geral;29;3.3.90.33.99.00.00.00;OUTRAS DESPESAS COM LOCOMOÇÃO;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;51.943,71
PREFEITURA MUNICIPAL DE BARBACENA;05.001;SEGAB;2.150;MANUTENÇAO DA SEGAB;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;122;Administração Geral;32;3.3.90.39.05.00.00.00;SERVIÇOS TÉCNICOS PROFISSIONAIS;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;415.522,98
PREFEITURA MUNICIPAL DE BARBACENA;05.001;SEGAB;2.150;MANUTENÇAO DA SEGAB;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;122;Administração Geral;32;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;93.250,00
PREFEITURA MUNICIPAL DE BARBACENA;05.001;SEGAB;2.219;CONTRATO DE RATEIO COM O CODAMMA;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;122;Administração Geral;57;3.1.71.70.00.00.00.00;RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;114.006,54
PREFEITURA MUNICIPAL DE BARBACENA;05.001;SEGAB;2.219;CONTRATO DE RATEIO COM O CODAMMA;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;122;Administração Geral;58;3.3.71.70.00.00.00.00;RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;37.335,86
PREFEITURA MUNICIPAL DE BARBACENA;05.001;SEGAB;2.219;CONTRATO DE RATEIO COM O CODAMMA;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;122;Administração Geral;59;4.4.71.70.00.00.00.00;RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;13.860,52
PREFEITURA MUNICIPAL DE BARBACENA;13.001;SEAPA;2.173;MANUTENÇAO DA SEAPA;11;APOIO A ADMINISTRAÇAO PUBLICA;20;Agricultura;122;Administração Geral;80;3.3.90.39.10.00.00.00;LOCAÇÃO DE IMÓVEIS;1.501.000.0000;OUTROS RECURSOS NÃO VINCULADOS;16.000,00
PREFEITURA MUNICIPAL DE BARBACENA;13.001;SEAPA;2.291;MANUTENÇÃO DO HORTO FLORESTAL;11;APOIO A ADMINISTRAÇAO PUBLICA;20;Agricultura;122;Administração Geral;89;3.3.90.30.31.00.00.00;SEMENTES, MUDAS DE PLANTAS E INSUMOS;1.501.000.0000;OUTROS RECURSOS NÃO VINCULADOS;40.057,50
PREFEITURA MUNICIPAL DE BARBACENA;13.001;SEAPA;2.178;APOIO E FOMENTO A PRODUÇÃO RURAL;35;DESENVOLVIMENTO RURAL;20;Agricultura;122;Administração Geral;95;3.3.50.41.00.00.00.00;CONTRIBUIÇÕES;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;155.614,44
PREFEITURA MUNICIPAL DE BARBACENA;15.001;SEGOV;2.181;MANUTENÇAO DA SEGOV;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;122;Administração Geral;120;3.3.90.14.04.00.00.00;DIÁRIAS DE SECRETÁRIOS;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;926,31
PREFEITURA MUNICIPAL DE BARBACENA;15.001;SEGOV;2.181;MANUTENÇAO DA SEGOV;11;APOIO A ADMINISTRAÇAO PUBLICA;4;Administração;122;Administração Geral;125;3.3.90.39.05.00.00.00;SERVIÇOS TÉCNICOS PROFISSIONAIS;1.500.000.0000;RECURSOS NÃO VINCULADOS DE IMPOSTOS;5.970,00
